pipeline,step,loss,epoch,learning_rate,outcome_accuracy
SFT,0,0.7222,0.01,4.9000000000000005e-06,
SFT,1,0.2095,0.02,4.800000000000001e-06,
SFT,2,0.0,0.03,4.7e-06,
SFT,3,0.0,0.04,4.600000000000001e-06,
SFT,4,0.2264,0.05,4.5e-06,
SFT,5,0.0,0.06,4.4e-06,
SFT,6,0.0,0.07,4.3e-06,
SFT,7,0.1821,0.09,4.2000000000000004e-06,
SFT,8,0.0,0.1,4.1e-06,
SFT,9,0.1583,0.11,4.000000000000001e-06,
SFT,10,0.0,0.12,3.900000000000001e-06,
SFT,11,0.3843,0.13,3.8000000000000005e-06,
SFT,12,0.0,0.14,3.7e-06,
SFT,13,0.1457,0.15,3.6000000000000003e-06,
SFT,14,0.0,0.16,3.5e-06,
SFT,15,0.256,0.17,3.4000000000000005e-06,
SFT,16,0.2352,0.18,3.3000000000000006e-06,
SFT,17,0.3655,0.19,3.2000000000000003e-06,
SFT,18,0.0,0.2,3.1000000000000004e-06,
SFT,19,0.4061,0.21,3e-06,
SFT,20,0.4775,0.22,2.9e-06,
SFT,21,0.0,0.24,2.8000000000000003e-06,
SFT,22,0.2258,0.25,2.7000000000000004e-06,
SFT,23,0.0,0.26,2.6e-06,
SFT,24,0.2133,0.27,2.5e-06,
SFT,25,0.1752,0.28,2.4000000000000003e-06,
SFT,26,0.4453,0.29,2.3000000000000004e-06,
SFT,27,0.2142,0.3,2.2e-06,
SFT,28,0.0,0.31,2.1000000000000002e-06,
SFT,29,0.6722,0.32,2.0000000000000003e-06,
SFT,30,0.2496,0.33,1.9000000000000002e-06,
SFT,31,0.6311,0.34,1.8000000000000001e-06,
SFT,32,0.0,0.35,1.7000000000000002e-06,
SFT,33,0.0,0.36,1.6000000000000001e-06,
SFT,34,0.722,0.37,1.5e-06,
SFT,35,0.1667,0.39,1.4000000000000001e-06,
SFT,36,0.2265,0.4,1.3e-06,
SFT,37,0.0,0.41,1.2000000000000002e-06,
SFT,38,0.4726,0.42,1.1e-06,
SFT,39,0.1332,0.43,1.0000000000000002e-06,
SFT,40,0.0,0.44,9.000000000000001e-07,
SFT,41,0.0,0.45,8.000000000000001e-07,
SFT,42,0.2221,0.46,7.000000000000001e-07,
SFT,43,0.2018,0.47,6.000000000000001e-07,
SFT,44,0.2399,0.48,5.000000000000001e-07,
SFT,45,0.0,0.49,4.0000000000000003e-07,
SFT,46,0.1933,0.5,3.0000000000000004e-07,
SFT,47,0.0,0.51,2.0000000000000002e-07,
SFT,48,0.0,0.52,1.0000000000000001e-07,
SFT,49,0.2139,0.54,0.0,
GRPO,0,-4.4656,,,0.013
GRPO,10,-0.0677,,,0.013
GRPO,20,-5.7667,,,0.013
GRPO,30,0.3365,,,0.017
GRPO,34,-3.1875,,,0.008
GRPO_STEP_TIME,0,192.36,,,0
GRPO_STEP_TIME,1,203.43,,,1
GRPO_STEP_TIME,2,205.99,,,2
GRPO_STEP_TIME,3,206.77,,,3
GRPO_STEP_TIME,4,210.49,,,4
GRPO_STEP_TIME,5,188.6,,,5
GRPO_STEP_TIME,6,194.81,,,6
GRPO_STEP_TIME,7,193.15,,,7
GRPO_STEP_TIME,8,186.25,,,8
GRPO_STEP_TIME,9,197.51,,,9
GRPO_STEP_TIME,10,183.35,,,10
GRPO_STEP_TIME,11,201.71,,,11
GRPO_STEP_TIME,12,197.92,,,12
GRPO_STEP_TIME,13,206.07,,,13
GRPO_STEP_TIME,14,189.85,,,14
GRPO_STEP_TIME,15,221.63,,,15
GRPO_STEP_TIME,16,207.88,,,16
GRPO_STEP_TIME,17,181.7,,,17
GRPO_STEP_TIME,18,216.04,,,18
GRPO_STEP_TIME,19,205.35,,,19
GRPO_STEP_TIME,20,200.78,,,20
GRPO_STEP_TIME,21,194.19,,,21
GRPO_STEP_TIME,22,176.78,,,22
GRPO_STEP_TIME,23,190.87,,,23
GRPO_STEP_TIME,24,189.73,,,24
GRPO_STEP_TIME,25,183.05,,,25
GRPO_STEP_TIME,26,187.35,,,26
GRPO_STEP_TIME,27,203.39,,,27
GRPO_STEP_TIME,28,199.61,,,28
GRPO_STEP_TIME,29,205.41,,,29
GRPO_STEP_TIME,30,200.14,,,30
GRPO_STEP_TIME,31,203.95,,,31
GRPO_STEP_TIME,32,193.81,,,32
GRPO_STEP_TIME,33,223.71,,,33
GRPO_STEP_TIME,34,197.83,,,34
